Dataset,vs_ElasticNet_RMSE,vs_ElasticNet_MAE,vs_ElasticNet_R2,vs_RF_RMSE,vs_RF_MAE,vs_RF_R2
AEP,44.47274506161932,39.807517143199014,57.6012226853186,-117.02466042319857,-175.24877963314066,-11.373634985900042
COMED,58.389132767703785,57.5988778171336,65.30472407236067,-88.88367642953024,-142.51326510416092,-5.6193170241047055
DAYTON,50.08118955190388,48.4540535081055,78.93107891311708,-111.9340989501203,-156.95596231540748,-10.218146006204702
DEOK,53.39316626349241,55.11010882802717,69.64255893537896,-43.34971888745772,-68.84473324083955,-5.525087457502455
DOM,41.59199994707598,36.7029519111034,53.31504490248747,-278.799437844005,-388.04756947312694,-14.347880469895014
DUQ,54.36813859841399,53.74914452649166,66.66205995633163,-73.06504718156441,-104.37443701017608,-6.548203896743772
EKPC,69.10774940292612,70.61465339962855,71.14104244842888,-53.30562485342328,-62.716526968125166,-2.457646349544874
FE,49.892611463558005,46.93287047589042,101.0510525925082,-159.10475599770274,-263.2529432399724,-12.541646846878468
NI,40.626319840371856,35.80374106334417,138.1470362395351,-181.77463552672288,-311.17270146862757,-21.63351823153629
PJME,60.79831072295994,60.276986801464616,67.41310565689881,-79.27128755359038,-115.91642491052289,-4.795213366058289
PJMW,57.70106063530886,51.19372219427964,68.00707173224275,-128.55555211421884,-201.58963418285057,-6.657276202405376
PJM_Load,56.16780503057499,55.12009242544037,59.77510953266519,-160.319304850124,-222.96092438694984,-7.049622969016416
