Model,MSE,RMSE,MAE,R2,MAPE,Dataset
LN-TSDM,525942.9172194637,725.2192201117285,621.5795538698117,0.8599016927004658,4.236775004938374,AEP
ElasticNet,1705792.508445863,1306.059917632366,1032.6531227305588,0.5456186684651719,7.083313738825649,AEP
Random Forest,111665.8664771192,334.1644302990957,225.82463569802943,0.9702549490365088,1.491210496118253,AEP
LN-TSDM,178847.03690772504,422.90310581470675,359.2649307112048,0.9235943412707281,3.248007910647303,COMED
ElasticNet,1032923.6347414913,1016.3285072954961,847.3005246459677,0.5587222908804669,7.823631954487012,COMED
Random Forest,50129.444807738124,223.8960580442142,148.14238328649705,0.9785840832563301,1.3071887986516701,COMED
LN-TSDM,10699.272119265808,103.43728592372196,84.94925785733935,0.8722910415993772,4.50211398281002,DAYTON
ElasticNet,42936.414797844605,207.21103927601106,164.802983820847,0.4875011355757445,8.97833088258173,DAYTON
Random Forest,2382.059239371482,48.806344253298484,33.05985083664496,0.971567196261797,1.6786149733127285,DAYTON
LN-TSDM,15172.0692231171,123.174953716724,95.16480297460737,0.8977306980979907,3.01114321476306,DEOK
ElasticNet,69846.65555549334,264.2851784635176,211.99606523890142,0.5291895522750034,6.829973162042917,DEOK
Random Forest,7383.310355816806,85.92619132614226,56.36231651884849,0.9502318382080168,1.8100590257071325,DEOK
LN-TSDM,1303264.355837948,1141.6060423096699,962.0932227051336,0.8474128959991024,7.961553521708795,DOM
ElasticNet,3820215.354968105,1954.5371203863347,1519.965388202521,0.5527265093507816,12.330169884768406,DOM
Random Forest,90826.76913720851,301.3747984440778,197.13103453086836,0.9893659382255613,1.7347869424464275,DOM
LN-TSDM,4491.18842258083,67.01632952184735,56.04379136599757,0.9048211937130616,3.569672338977356,DUQ
ElasticNet,21568.746505297666,146.86301952941614,121.1735238023834,0.5429077223395298,7.929751798747792,DUQ
Random Forest,1499.4864496700875,38.723202988261285,27.422114128298283,0.9682223685816714,1.6893418586457198,DUQ
LN-TSDM,4447.959789971448,66.69302654679458,53.40069341668156,0.9579869641585116,3.711408997596917,EKPC
ElasticNet,46608.13810987613,215.88918015934965,181.72558637101977,0.5597645955949979,12.680018088079004,EKPC
Random Forest,1892.53828285022,43.503313469783194,32.818235745126444,0.9821241012816607,2.363494356730078,EKPC
LN-TSDM,459641.32402715937,677.9685273131485,571.8893706253984,0.8557980834629109,6.455552709019444,FE
ElasticNet,1830693.0334483078,1353.0310541330186,1077.6715751425302,0.4256620755910435,11.533910823904977,FE
Random Forest,68464.95034069353,261.6580790663524,157.43557795417408,0.9785206931173115,1.8572274939345503,FE
LN-TSDM,2317968.7013020604,1522.4876686863709,1282.2262427324815,0.7599737098778911,9.183505254247944,NI
ElasticNet,6575361.436672042,2564.2467581479054,1997.3535280267477,0.31911953299031937,13.334343668145667,NI
Random Forest,291946.83683329524,540.3210497780882,311.8461508151254,0.9697688255589397,2.183680464524509,NI
LN-TSDM,1236417.3509777216,1111.943052038962,936.5025499530556,0.931863367257025,3.0703206895819157,PJME
ElasticNet,8045546.0876754355,2836.467184311399,2357.5818512871156,0.5566251002874365,7.918584574013543,PJME
Random Forest,384718.98270317476,620.257190771034,433.7338163787901,0.9787988610698739,1.4033642391251548,PJME
LN-TSDM,57604.68940344619,240.00976939167745,215.88190298527172,0.9189433332745744,4.036633417792257,PJMW
ElasticNet,321957.7502024761,567.4132094007648,442.32404660035183,0.546967055493425,8.462264467878908,PJMW
Random Forest,11027.429447403047,105.01156815990821,71.58134050933091,0.9844830918660796,1.3183354645506304,PJMW
LN-TSDM,2739121.1757121426,1655.0290558513293,1331.8917379710504,0.9182971215243176,4.551058171845936,PJM_Load
ElasticNet,14256890.268557047,3775.8297457058425,2967.679324558233,0.5747435405992174,10.505796794883834,PJM_Load
Random Forest,404202.03311054164,635.7688519505667,412.4002742744408,0.9879434068548397,1.4540073353042569,PJM_Load
